dato;produksjon
27.08.05;1981
28.08.05;973
29.08.05;1688
30.08.05;2577
31.08.05;968
01.09.05;516
02.09.05;802
03.09.05;1191
04.09.05;1254
05.09.05;383
06.09.05;1136
07.09.05;1047
08.09.05;1531
09.09.05;1493
10.09.05;789
11.09.05;1488
12.09.05;1993
13.09.05;1182
14.09.05;1370
15.09.05;1281
16.09.05;1987
17.09.05;1999
18.09.05;2292
19.09.05;1409
20.09.05;1987
21.09.05;2452
22.09.05;1326
23.09.05;725
24.09.05;2143
25.09.05;712
26.09.05;870
27.09.05;529
28.09.05;491
29.09.05;902
30.09.05;908
01.10.05;533
02.10.05;1196
03.10.05;2346
04.10.05;2020
05.10.05;1909
06.10.05;1259
07.10.05;610
08.10.05;946
09.10.05;1198
10.10.05;904
11.10.05;893
12.10.05;427
13.10.05;1463
14.10.05;2388
15.10.05;261
16.10.05;307
17.10.05;257
18.10.05;231
19.10.05;120
20.10.05;811
21.10.05;634
22.10.05;688
23.10.05;244
24.10.05;383
25.10.05;1283
26.10.05;1450
27.10.05;724
28.10.05;1478
29.10.05;1240
30.10.05;950
31.10.05;649
01.11.05;755
02.11.05;733
03.11.05;703
04.11.05;310
05.11.05;328
06.11.05;703
07.11.05;723
08.11.05;1137
09.11.05;665
10.11.05;2021
11.11.05;1701
12.11.05;596
13.11.05;1671
14.11.05;1943
15.11.05;2017
16.11.05;1342
17.11.05;594
18.11.05;279
19.11.05;1635
20.11.05;315
21.11.05;1707
22.11.05;2329
23.11.05;2659
24.11.05;595
25.11.05;871
26.11.05;618
27.11.05;381
28.11.05;669
29.11.05;1045
30.11.05;1524
01.12.05;872
02.12.05;221
03.12.05;777
04.12.05;662
05.12.05;654
06.12.05;578
07.12.05;1007
08.12.05;416
09.12.05;781
10.12.05;1725
11.12.05;2385
12.12.05;2598
13.12.05;1488
14.12.05;2672
15.12.05;1585
16.12.05;724
17.12.05;2120
18.12.05;754
19.12.05;1073
20.12.05;875
21.12.05;1331
22.12.05;1063
23.12.05;1184
24.12.05;1527
25.12.05;1808
26.12.05;893
27.12.05;1118
28.12.05;1122
29.12.05;660
30.12.05;1197
31.12.05;902
01.01.06;435
02.01.06;583
03.01.06;977
04.01.06;1088
05.01.06;749
06.01.06;825
07.01.06;414
08.01.06;790
09.01.06;591
10.01.06;1603
11.01.06;1863
12.01.06;1335
13.01.06;1083
14.01.06;936
15.01.06;350
16.01.06;1130
17.01.06;1557
18.01.06;902
19.01.06;1301
20.01.06;1018
21.01.06;1043
22.01.06;1681
23.01.06;2146
24.01.06;1783
25.01.06;489
26.01.06;1444
27.01.06;1238
28.01.06;2750
29.01.06;3171
30.01.06;2627
31.01.06;2378
01.02.06;2285
02.02.06;747
03.02.06;208
04.02.06;713
05.02.06;887
06.02.06;1659
07.02.06;753
08.02.06;126
09.02.06;1203
10.02.06;1208
11.02.06;1377
12.02.06;886
13.02.06;889
14.02.06;504
15.02.06;1282
16.02.06;1633
17.02.06;950
18.02.06;626
19.02.06;475
20.02.06;224
21.02.06;417
22.02.06;2254
23.02.06;704
24.02.06;755
25.02.06;1515
26.02.06;1530
27.02.06;222
28.02.06;256
01.03.06;1079
02.03.06;1741
03.03.06;768
04.03.06;467
05.03.06;153
06.03.06;489
07.03.06;257
08.03.06;752
09.03.06;1420
10.03.06;1531
11.03.06;644
12.03.06;627
13.03.06;814
14.03.06;966
15.03.06;676
16.03.06;686
17.03.06;890
18.03.06;2023
19.03.06;1405
20.03.06;562
21.03.06;557
22.03.06;630
23.03.06;127
24.03.06;473
25.03.06;864
26.03.06;396
27.03.06;479
28.03.06;1027
29.03.06;595
30.03.06;608
31.03.06;257
01.04.06;383
02.04.06;418
03.04.06;1021
04.04.06;618
05.04.06;188
06.04.06;607
07.04.06;871
08.04.06;552
09.04.06;416
10.04.06;762
11.04.06;200
12.04.06;673
13.04.06;1423
14.04.06;2392
15.04.06;2094
16.04.06;404
17.04.06;501
18.04.06;929
19.04.06;1065
20.04.06;64
21.04.06;149
22.04.06;927
23.04.06;1571
24.04.06;221
25.04.06;1420
26.04.06;1472
27.04.06;1165
28.04.06;383
29.04.06;780
30.04.06;1488
01.05.06;1609
02.05.06;989
03.05.06;750
04.05.06;636
05.05.06;718
06.05.06;412
07.05.06;812
08.05.06;1038
09.05.06;516
10.05.06;513
11.05.06;861
12.05.06;2162
13.05.06;1445
14.05.06;1045
15.05.06;566
16.05.06;1030
17.05.06;1133
18.05.06;772
19.05.06;302
20.05.06;268
21.05.06;664
22.05.06;464
23.05.06;529
24.05.06;692
25.05.06;869
26.05.06;658
27.05.06;775
28.05.06;437
29.05.06;537
30.05.06;1025
31.05.06;517
01.06.06;238
02.06.06;2277
03.06.06;2525
04.06.06;1310
05.06.06;281
06.06.06;426
07.06.06;683
08.06.06;1369
09.06.06;2237
10.06.06;783
11.06.06;660
12.06.06;618
13.06.06;1628
14.06.06;2317
15.06.06;1859
16.06.06;1300
17.06.06;659
18.06.06;237
19.06.06;162
20.06.06;195
21.06.06;617
22.06.06;242
23.06.06;1000
24.06.06;380
25.06.06;909
26.06.06;499
27.06.06;937
28.06.06;330
29.06.06;131
30.06.06;324
01.07.06;222
02.07.06;317
03.07.06;131
04.07.06;485
05.07.06;478
06.07.06;363
07.07.06;353
08.07.06;406
09.07.06;280
10.07.06;1302
11.07.06;1369
12.07.06;1560
13.07.06;2770
14.07.06;2464
15.07.06;1359
16.07.06;651
17.07.06;1246
18.07.06;1223
19.07.06;1071
20.07.06;1030
21.07.06;600
22.07.06;457
23.07.06;879
24.07.06;903
25.07.06;204
26.07.06;119
27.07.06;107
28.07.06;94
29.07.06;771
30.07.06;150
31.07.06;301
01.08.06;163
02.08.06;375
03.08.06;186
04.08.06;31
05.08.06;162
06.08.06;286
07.08.06;782
08.08.06;632
09.08.06;543
10.08.06;309
11.08.06;170
12.08.06;129
13.08.06;116
14.08.06;1231
15.08.06;1233
16.08.06;449
17.08.06;146
18.08.06;167
19.08.06;709
20.08.06;337
21.08.06;1056
22.08.06;993
23.08.06;222
24.08.06;165
25.08.06;204
26.08.06;93
27.08.06;188
28.08.06;751
29.08.06;785
30.08.06;384
31.08.06;1170
01.09.06;519
02.09.06;490
03.09.06;1324
04.09.06;2309
05.09.06;1445
06.09.06;658
07.09.06;745
08.09.06;1333
09.09.06;2381
10.09.06;2021
11.09.06;770
12.09.06;832
13.09.06;748
14.09.06;583
15.09.06;302
16.09.06;794
17.09.06;792
18.09.06;410
19.09.06;319
20.09.06;1696
21.09.06;1082
22.09.06;718
23.09.06;1543
24.09.06;1357
25.09.06;881
26.09.06;829
27.09.06;676
28.09.06;245
29.09.06;629
30.09.06;153
01.10.06;761
02.10.06;842
03.10.06;1584
04.10.06;333
05.10.06;246
06.10.06;991
07.10.06;1324
08.10.06;1700
09.10.06;706
10.10.06;1423
11.10.06;941
12.10.06;470
13.10.06;649
14.10.06;1812
15.10.06;1582
16.10.06;2893
17.10.06;1329
18.10.06;1081
19.10.06;548
20.10.06;1540
21.10.06;1571
22.10.06;1827
23.10.06;287
24.10.06;511
25.10.06;971
26.10.06;1391
27.10.06;2135
28.10.06;847
29.10.06;602
30.10.06;856
31.10.06;2336
01.11.06;650
02.11.06;509
03.11.06;1659
04.11.06;2418
05.11.06;1537
06.11.06;2767
07.11.06;2188
08.11.06;2022
09.11.06;1143
10.11.06;1522
11.11.06;2228
12.11.06;2180
13.11.06;1438
14.11.06;2487
15.11.06;3126
16.11.06;2477
17.11.06;1926
18.11.06;2110
19.11.06;1179
20.11.06;1438
21.11.06;1975
22.11.06;1665
23.11.06;2325
24.11.06;1555
25.11.06;1525
26.11.06;2474
27.11.06;2100
28.11.06;1958
29.11.06;960
30.11.06;1589
01.12.06;977
02.12.06;1716
03.12.06;1528
04.12.06;2129
05.12.06;2181
06.12.06;2000
07.12.06;2278
08.12.06;1343
09.12.06;1471
10.12.06;1919
11.12.06;2909
12.12.06;2898
13.12.06;2925
14.12.06;1948
15.12.06;1783
16.12.06;1762
17.12.06;2397
18.12.06;2130
19.12.06;2913
20.12.06;3787
21.12.06;3653
22.12.06;3260
23.12.06;3117
24.12.06;2640
25.12.06;2343
26.12.06;3590
27.12.06;3240
28.12.06;1970
29.12.06;1162
30.12.06;2265
31.12.06;2905
01.01.07;1748
02.01.07;2671
03.01.07;1407
04.01.07;1448
05.01.07;1078
06.01.07;2064
07.01.07;1491
08.01.07;2128
09.01.07;1451
10.01.07;2187
11.01.07;1805
12.01.07;1960
13.01.07;1768
14.01.07;1751
15.01.07;1665
16.01.07;2159
17.01.07;1885
18.01.07;703
19.01.07;556
20.01.07;1579
21.01.07;1036
22.01.07;676
23.01.07;810
24.01.07;799
