,region,type,time,variable,value
2741,Bergen,00 Boliger i alt,2013-09-01,"Prisindeks for brukte boliger, sesongjustert",89.8
2743,Bergen,00 Boliger i alt,2013-12-01,"Prisindeks for brukte boliger, sesongjustert",88.2
2745,Bergen,00 Boliger i alt,2014-03-01,"Prisindeks for brukte boliger, sesongjustert",90.3
2747,Bergen,00 Boliger i alt,2014-06-01,"Prisindeks for brukte boliger, sesongjustert",91.2
2749,Bergen,00 Boliger i alt,2014-09-01,"Prisindeks for brukte boliger, sesongjustert",94.2
2751,Bergen,00 Boliger i alt,2014-12-01,"Prisindeks for brukte boliger, sesongjustert",96.2
2753,Bergen,00 Boliger i alt,2015-03-01,"Prisindeks for brukte boliger, sesongjustert",98.1
2755,Bergen,00 Boliger i alt,2015-06-01,"Prisindeks for brukte boliger, sesongjustert",100.2
2757,Bergen,00 Boliger i alt,2015-09-01,"Prisindeks for brukte boliger, sesongjustert",101.1
2759,Bergen,00 Boliger i alt,2015-12-01,"Prisindeks for brukte boliger, sesongjustert",100.5
2761,Bergen,00 Boliger i alt,2016-03-01,"Prisindeks for brukte boliger, sesongjustert",99.3
2763,Bergen,00 Boliger i alt,2016-06-01,"Prisindeks for brukte boliger, sesongjustert",99.7
2765,Bergen,00 Boliger i alt,2016-09-01,"Prisindeks for brukte boliger, sesongjustert",100.9
2767,Bergen,00 Boliger i alt,2016-12-01,"Prisindeks for brukte boliger, sesongjustert",103.9
2769,Bergen,00 Boliger i alt,2017-03-01,"Prisindeks for brukte boliger, sesongjustert",103.9
2771,Bergen,00 Boliger i alt,2017-06-01,"Prisindeks for brukte boliger, sesongjustert",103.6
2773,Bergen,00 Boliger i alt,2017-09-01,"Prisindeks for brukte boliger, sesongjustert",102.3
2775,Bergen,00 Boliger i alt,2017-12-01,"Prisindeks for brukte boliger, sesongjustert",101.5
2777,Bergen,00 Boliger i alt,2018-03-01,"Prisindeks for brukte boliger, sesongjustert",101.9
2779,Bergen,00 Boliger i alt,2018-06-01,"Prisindeks for brukte boliger, sesongjustert",103.3
2781,Bergen,00 Boliger i alt,2018-09-01,"Prisindeks for brukte boliger, sesongjustert",103.3
3529,Trondheim,00 Boliger i alt,2005-03-01,"Prisindeks for brukte boliger, sesongjustert",53.1
3531,Trondheim,00 Boliger i alt,2005-06-01,"Prisindeks for brukte boliger, sesongjustert",53.7
3533,Trondheim,00 Boliger i alt,2005-09-01,"Prisindeks for brukte boliger, sesongjustert",54.9
3535,Trondheim,00 Boliger i alt,2005-12-01,"Prisindeks for brukte boliger, sesongjustert",56.4
3537,Trondheim,00 Boliger i alt,2006-03-01,"Prisindeks for brukte boliger, sesongjustert",58.3
3539,Trondheim,00 Boliger i alt,2006-06-01,"Prisindeks for brukte boliger, sesongjustert",59.8
3541,Trondheim,00 Boliger i alt,2006-09-01,"Prisindeks for brukte boliger, sesongjustert",61.3
3543,Trondheim,00 Boliger i alt,2006-12-01,"Prisindeks for brukte boliger, sesongjustert",63.3
3545,Trondheim,00 Boliger i alt,2007-03-01,"Prisindeks for brukte boliger, sesongjustert",64.6
3547,Trondheim,00 Boliger i alt,2007-06-01,"Prisindeks for brukte boliger, sesongjustert",65.3
3549,Trondheim,00 Boliger i alt,2007-09-01,"Prisindeks for brukte boliger, sesongjustert",65.6
3551,Trondheim,00 Boliger i alt,2007-12-01,"Prisindeks for brukte boliger, sesongjustert",64.5
3553,Trondheim,00 Boliger i alt,2008-03-01,"Prisindeks for brukte boliger, sesongjustert",63.8
3555,Trondheim,00 Boliger i alt,2008-06-01,"Prisindeks for brukte boliger, sesongjustert",65.1
3557,Trondheim,00 Boliger i alt,2008-09-01,"Prisindeks for brukte boliger, sesongjustert",62.5
3559,Trondheim,00 Boliger i alt,2008-12-01,"Prisindeks for brukte boliger, sesongjustert",59.9
3561,Trondheim,00 Boliger i alt,2009-03-01,"Prisindeks for brukte boliger, sesongjustert",61.1
3563,Trondheim,00 Boliger i alt,2009-06-01,"Prisindeks for brukte boliger, sesongjustert",63.1
3565,Trondheim,00 Boliger i alt,2009-09-01,"Prisindeks for brukte boliger, sesongjustert",65.0
3567,Trondheim,00 Boliger i alt,2009-12-01,"Prisindeks for brukte boliger, sesongjustert",68.2
3569,Trondheim,00 Boliger i alt,2010-03-01,"Prisindeks for brukte boliger, sesongjustert",70.1
3571,Trondheim,00 Boliger i alt,2010-06-01,"Prisindeks for brukte boliger, sesongjustert",70.4
3573,Trondheim,00 Boliger i alt,2010-09-01,"Prisindeks for brukte boliger, sesongjustert",73.1
