DK1,DK2,EE,FI,LT,LV,SE1,SE2,SE3,SE4,date,DK,SE
41943,15443,3304.0,17355.0,5156,457.0,,,,,2018-12-07,57386,
63338,22681,3854.0,19443.0,8464,820.0,,,,,2018-12-08,86019,
42388,16318,3432.0,30392.0,7234,702.0,,,,,2018-12-09,58706,
66837,20427,911.0,9618.0,2532,77.0,,,,,2018-12-10,87264,
34412,13147,811.0,5146.0,608,59.0,,,,,2018-12-11,47559,
7798,5298,1004.0,2888.0,1725,184.0,,,,,2018-12-12,13096,
18781,6974,1536.0,11286.0,1846,178.0,,,,,2018-12-13,25755,
23717,4808,249.0,9786.0,1509,85.0,,,,,2018-12-14,28525,
27172,2114,210.0,8323.0,1404,50.0,,,,,2018-12-15,29286,
40338,10076,854.0,7859.0,5383,283.0,,,,,2018-12-16,50414,
6022,1628,1128.0,11672.0,1276,191.0,,,,,2018-12-17,7650,
20357,4395,803.0,4109.0,571,80.0,,,,,2018-12-18,24752,
48562,12488,465.0,6092.0,2992,178.0,,,,,2018-12-19,61050,
28088,3122,474.0,6465.0,3090,256.0,,,,,2018-12-20,31210,
39962,10244,586.0,9398.0,955,17.0,,,,,2018-12-21,50206,
9878,2520,439.0,7268.0,2478,146.0,,,,,2018-12-22,12398,
5908,4921,308.0,2249.0,1585,89.0,,,,,2018-12-23,10829,
27063,7739,686.0,14644.0,2179,160.0,,,,,2018-12-24,34802,
70470,19167,2634.0,21769.0,2430,234.0,,,,,2018-12-25,89637,
43629,12269,3117.0,11963.0,6109,428.0,,,,,2018-12-26,55898,
44570,16979,290.0,4351.0,2441,54.0,,,,,2018-12-27,61549,
30924,9340,215.0,3994.0,2298,68.0,,,,,2018-12-28,40264,
36822,12392,631.0,22405.0,2177,106.0,,,,,2018-12-29,49214,
35912,12839,163.0,12309.0,1092,27.0,,,,,2018-12-30,48751,
42683,8341,1732.0,33149.0,2251,311.0,,,,,2018-12-31,51024,
