,currency,sector,credit_source,time,variable,value
152,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-08-01,Innenlandsk lσnegjeld,1406.179
153,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-09-01,Innenlandsk lσnegjeld,1426.693
154,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-10-01,Innenlandsk lσnegjeld,1436.632
155,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-11-01,Innenlandsk lσnegjeld,1458.147
156,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-12-01,Innenlandsk lσnegjeld,1460.854
157,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-01-01,Innenlandsk lσnegjeld,1474.468
158,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-02-01,Innenlandsk lσnegjeld,1489.886
159,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-03-01,Innenlandsk lσnegjeld,1503.212
160,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-04-01,Innenlandsk lσnegjeld,1519.021
161,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-05-01,Innenlandsk lσnegjeld,1529.046
162,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-06-01,Innenlandsk lσnegjeld,1541.031
163,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-07-01,Innenlandsk lσnegjeld,1546.879
164,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-08-01,Innenlandsk lσnegjeld,1556.087
165,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-09-01,Innenlandsk lσnegjeld,1571.463
166,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-10-01,Innenlandsk lσnegjeld,1582.077
167,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-11-01,Innenlandsk lσnegjeld,1600.114
168,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2001-12-01,Innenlandsk lσnegjeld,1608.131
169,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-01-01,Innenlandsk lσnegjeld,1614.899
