,currency,sector,credit_source,time,variable,value
9061,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-01-01,Innenlandsk lσnegjeld,324.488
9062,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-02-01,Innenlandsk lσnegjeld,329.839
9063,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-03-01,Innenlandsk lσnegjeld,335.24
9064,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-04-01,Innenlandsk lσnegjeld,348.022
9065,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-05-01,Innenlandsk lσnegjeld,350.201
9066,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-06-01,Innenlandsk lσnegjeld,360.656
9067,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-07-01,Innenlandsk lσnegjeld,361.779
9068,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-08-01,Innenlandsk lσnegjeld,362.87
9069,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-09-01,Innenlandsk lσnegjeld,365.383
9070,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-10-01,Innenlandsk lσnegjeld,370.627
9071,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-11-01,Innenlandsk lσnegjeld,374.294
9072,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1997-12-01,Innenlandsk lσnegjeld,379.13
9073,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-01-01,Innenlandsk lσnegjeld,383.856
9074,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-02-01,Innenlandsk lσnegjeld,388.6
9075,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-03-01,Innenlandsk lσnegjeld,397.223
9076,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-04-01,Innenlandsk lσnegjeld,400.463
9077,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-05-01,Innenlandsk lσnegjeld,404.966
9078,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-06-01,Innenlandsk lσnegjeld,411.295
9079,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-07-01,Innenlandsk lσnegjeld,410.263
9080,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-08-01,Innenlandsk lσnegjeld,415.912
