,currency,sector,credit_source,time,variable,value
16106,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-08-01,Innenlandsk lσnegjeld,416.022
16107,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-09-01,Innenlandsk lσnegjeld,427.227
16108,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-10-01,Innenlandsk lσnegjeld,432.646
16109,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-11-01,Innenlandsk lσnegjeld,436.919
16110,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-12-01,Innenlandsk lσnegjeld,440.902
16111,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-01-01,Innenlandsk lσnegjeld,442.759
16112,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-02-01,Innenlandsk lσnegjeld,444.662
16113,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-03-01,Innenlandsk lσnegjeld,448.539
16114,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-04-01,Innenlandsk lσnegjeld,454.547
16115,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-05-01,Innenlandsk lσnegjeld,459.439
16116,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-06-01,Innenlandsk lσnegjeld,463.809
16117,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-07-01,Innenlandsk lσnegjeld,468.818
16118,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-08-01,Innenlandsk lσnegjeld,471.265
16119,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-09-01,Innenlandsk lσnegjeld,471.549
16120,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-10-01,Innenlandsk lσnegjeld,473.868
16121,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-11-01,Innenlandsk lσnegjeld,476.983
16122,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1998-12-01,Innenlandsk lσnegjeld,475.134
